iter	Passed	Remaining
0	1368	409076
1	1758	261990
2	2115	209458
3	2588	191550
4	3149	185806
5	3639	178349
6	4087	171104
7	4750	173404
8	5244	169580
9	5893	170920
10	6413	168493
11	6894	165458
12	7469	164905
13	7931	162019
14	8445	160457
15	9608	170553
16	10340	172133
17	10833	169723
18	11247	166351
19	11649	163097
20	12337	163911
21	12743	161035
22	13107	157865
23	13474	154955
24	13821	152038
25	14216	149815
26	14620	147830
27	14982	145545
28	15357	143508
29	15842	142583
30	16537	143503
31	16989	142287
32	17398	140769
33	17814	139372
34	18211	137887
35	18600	136400
36	18959	134767
37	19352	133427
38	19705	131878
39	20095	130620
40	20517	129610
41	20932	128588
42	21572	128934
43	22139	128810
44	23800	134868
45	24627	135989
46	25132	135286
47	25638	134600
48	26095	133674
49	26519	132599
50	27056	132097
51	27596	131614
52	28423	132465
53	28964	131947
54	29450	131190
55	29828	129965
56	30220	128832
57	30617	127748
58	30987	126575
59	31381	125524
60	31712	124251
61	32500	124761
62	32888	123722
63	33306	122817
64	33836	122332
65	34210	121293
66	34592	120297
67	34978	119338
68	35362	118388
69	35764	117510
70	36163	116639
71	36560	115773
72	36971	114964
73	37372	114137
74	37769	113309
75	38699	114062
76	39205	113542
77	39595	112695
78	39995	111886
79	40385	111061
80	40723	110103
81	41005	109015
82	41324	108040
83	41670	107152
84	42090	106464
85	42940	106851
86	43339	106108
87	43674	105215
88	44049	104430
89	44402	103605
90	44716	102701
91	45132	102038
92	45663	101638
93	46114	101060
94	46509	100362
95	46835	99525
96	47177	98731
97	47516	97942
98	47906	97264
99	48404	96808
100	48730	96014
101	49097	95306
102	49466	94611
103	49855	93958
104	50224	93274
105	50563	92540
106	51136	92237
107	52225	92844
108	52738	92413
109	53191	91875
110	53659	91366
111	54187	90957
112	54631	90407
113	55076	89861
114	55534	89338
115	56052	88911
116	56535	88427
117	57019	87945
118	57402	87309
119	57797	86696
120	58220	86127
121	58619	85526
122	59018	84929
123	59385	84289
124	59835	83769
125	60373	83372
126	60741	82742
127	61142	82159
128	61519	81549
129	61943	81003
130	62337	80419
131	62785	79909
132	63224	79386
133	63684	78892
134	64122	78372
135	64540	77828
136	64958	77285
137	65366	76734
138	65781	76193
139	66166	75618
140	66594	75095
141	67039	74593
142	67477	74084
143	67954	73617
144	68409	73127
145	68915	72691
146	69381	72213
147	69780	71666
148	70180	71122
149	70570	70570
150	70991	70051
151	71399	69520
152	71851	69033
153	72306	68550
154	72694	68004
155	73114	67490
156	73508	66953
157	73898	66415
158	74331	65916
159	74734	65392
160	75166	64894
161	75649	64442
162	76023	63896
163	76463	63408
164	76860	62886
165	77310	62407
166	77730	61905
167	78137	61393
168	78520	60865
169	78899	60334
170	79279	59807
171	79655	59278
172	80074	58783
173	80499	58292
174	81044	57889
175	81449	57384
176	81830	56865
177	82249	56372
178	82649	55869
179	83129	55419
180	83609	54969
181	83982	54449
182	84336	53919
183	84770	53442
184	85154	52933
185	85595	52461
186	86015	51977
187	86530	51550
188	86930	51054
189	87337	50563
190	87688	50042
191	88125	49570
192	88523	49077
193	88916	48583
194	89292	48080
195	89673	47581
196	90079	47097
197	90455	46598
198	90920	46145
199	91290	45645
200	91658	45145
201	91984	44626
202	92323	44115
203	92679	43613
204	93007	43100
205	93391	42615
206	93889	42182
207	94538	41815
208	94988	41358
209	95364	40870
210	95764	40393
211	96086	39884
212	96399	39374
213	96745	38878
214	97366	38493
215	97844	38050
216	98225	37569
217	98656	37109
218	99014	36621
219	99425	36154
220	99820	35682
221	100233	35217
222	100642	34750
223	101057	34287
224	101396	33798
225	101856	33351
226	102228	32875
227	102572	32391
228	102988	31931
229	103370	31460
230	103764	30994
231	104126	30519
232	104482	30044
233	104875	29580
234	105235	29107
235	105642	28648
236	106206	28231
237	106603	27770
238	107008	27311
239	107391	26847
240	107779	26385
241	108133	25916
242	108522	25455
243	108923	24998
244	109312	24539
245	109684	24077
246	110040	23611
247	110423	23153
248	110784	22690
249	111183	22236
250	111573	21781
251	111932	21320
252	112321	20865
253	112709	20411
254	113090	19957
255	113512	19509
256	113912	19059
257	114254	18599
258	114603	18141
259	114979	17689
260	115411	17245
261	115831	16799
262	116246	16354
263	116600	15900
264	116942	15445
265	117314	14995
266	117783	14557
267	118291	14124
268	118679	13676
269	119053	13228
270	119452	12782
271	119856	12338
272	120188	11886
273	120539	11438
274	120856	10986
275	121315	10549
276	121807	10113
277	122285	9677
278	122687	9234
279	123077	8791
280	123436	8346
281	123834	7904
282	124165	7458
283	124506	7014
284	124921	6574
285	125300	6133
286	125657	5691
287	126066	5252
288	126496	4814
289	126890	4375
290	127224	3934
291	127595	3495
292	128018	3058
293	128487	2622
294	129034	2187
295	129660	1752
296	130241	1315
297	130786	877
298	131293	439
299	131786	0
