latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,acq_datetime
42.7007,-6.15248,300.42,2.75,1.59,2026-07-08,506,A,27,6.1NRT,286.22,24.92,D,2026-07-08 05:06:00
43.63515,3.19674,321.53,1.79,1.31,2026-07-08,932,T,72,6.1NRT,306.89,23.43,D,2026-07-08 09:32:00
43.6308,3.21758,323.7,1.8,1.31,2026-07-08,932,T,75,6.1NRT,307.38,28.84,D,2026-07-08 09:32:00
43.35653,-4.75201,324.27,1.01,1.0,2026-07-08,934,T,56,6.1NRT,299.85,16.49,D,2026-07-08 09:34:00
43.35489,-4.74006,327.75,1.01,1.0,2026-07-08,934,T,73,6.1NRT,301.2,20.97,D,2026-07-08 09:34:00
43.01875,-5.5319,312.34,1.03,1.01,2026-07-08,934,T,53,6.1NRT,300.3,6.8,D,2026-07-08 09:34:00
42.71226,-6.16799,339.58,1.05,1.03,2026-07-08,934,T,90,6.1NRT,300.43,41.2,D,2026-07-08 09:34:00
42.71066,-6.15543,356.1,1.05,1.03,2026-07-08,934,T,98,6.1NRT,302.24,76.89,D,2026-07-08 09:34:00
42.70494,-6.18276,336.92,1.06,1.03,2026-07-08,934,T,88,6.1NRT,300.23,35.86,D,2026-07-08 09:34:00
42.70332,-6.16999,344.86,1.05,1.03,2026-07-08,934,T,93,6.1NRT,306.0,50.56,D,2026-07-08 09:34:00
42.69593,-6.18436,365.48,1.06,1.03,2026-07-08,934,T,100,6.1NRT,302.13,104.96,D,2026-07-08 09:34:00
42.69435,-6.17182,373.42,1.05,1.03,2026-07-08,934,T,100,6.1NRT,304.64,132.87,D,2026-07-08 09:34:00
41.64521,-0.98474,321.89,1.22,1.1,2026-07-08,934,T,34,6.1NRT,307.48,9.41,D,2026-07-08 09:34:00
39.88564,-4.87778,322.69,1.0,1.0,2026-07-08,934,T,58,6.1NRT,309.12,8.25,D,2026-07-08 09:34:00
39.884,-4.8665,334.56,1.0,1.0,2026-07-08,934,T,81,6.1NRT,309.52,23.1,D,2026-07-08 09:34:00
36.13676,1.24221,331.6,2.07,1.4,2026-07-08,1431,A,73,6.1NRT,315.74,37.58,D,2026-07-08 14:31:00
36.14466,1.25796,327.89,2.06,1.4,2026-07-08,1431,A,27,6.1NRT,314.28,21.33,D,2026-07-08 14:31:00
41.35918,1.51734,418.81,1.49,1.2,2026-07-08,1433,A,100,6.1NRT,315.96,671.17,D,2026-07-08 14:33:00
41.35598,1.50115,427.04,1.49,1.21,2026-07-08,1433,A,100,6.1NRT,322.93,802.31,D,2026-07-08 14:33:00
41.36947,1.51391,349.12,1.49,1.2,2026-07-08,1433,A,94,6.1NRT,305.62,89.18,D,2026-07-08 14:33:00
41.3662,1.49726,359.92,1.49,1.21,2026-07-08,1433,A,99,6.1NRT,308.85,135.86,D,2026-07-08 14:33:00
43.62806,3.20579,330.4,1.13,1.06,2026-07-08,1433,A,76,6.1NRT,315.02,19.95,D,2026-07-08 14:33:00
39.80918,-3.75861,367.1,1.0,1.0,2026-07-08,2036,T,100,6.1NRT,305.2,104.3,N,2026-07-08 20:36:00
39.80765,-3.77,378.24,1.0,1.0,2026-07-08,2036,T,100,6.1NRT,308.35,143.64,N,2026-07-08 20:36:00
39.80612,-3.7814,312.39,1.0,1.0,2026-07-08,2036,T,73,6.1NRT,296.74,7.89,N,2026-07-08 20:36:00
39.81793,-3.76062,319.57,1.0,1.0,2026-07-08,2036,T,99,6.1NRT,299.02,14.12,N,2026-07-08 20:36:00
39.8164,-3.772,381.77,1.0,1.0,2026-07-08,2036,T,100,6.1NRT,305.07,158.32,N,2026-07-08 20:36:00
39.81488,-3.78339,352.56,1.0,1.0,2026-07-08,2036,T,100,6.1NRT,298.61,65.05,N,2026-07-08 20:36:00
39.82516,-3.77401,324.94,1.0,1.0,2026-07-08,2036,T,100,6.1NRT,297.06,19.6,N,2026-07-08 20:36:00
39.82363,-3.7854,323.5,1.0,1.0,2026-07-08,2036,T,100,6.1NRT,295.22,18.02,N,2026-07-08 20:36:00
41.58128,1.18847,320.26,1.6,1.25,2026-07-08,2036,T,100,6.1NRT,297.5,30.51,N,2026-07-08 20:36:00
41.5939,1.20555,308.76,1.6,1.25,2026-07-08,2036,T,69,6.1NRT,296.31,12.1,N,2026-07-08 20:36:00
41.59229,1.18705,360.68,1.6,1.25,2026-07-08,2036,T,100,6.1NRT,301.39,170.36,N,2026-07-08 20:36:00
41.59068,1.16852,327.84,1.6,1.24,2026-07-08,2036,T,100,6.1NRT,297.89,45.81,N,2026-07-08 20:36:00
41.62331,0.8792,313.04,1.54,1.22,2026-07-08,2036,T,84,6.1NRT,297.21,18.09,N,2026-07-08 20:36:00
41.86071,0.47923,323.59,1.47,1.2,2026-07-08,2036,T,100,6.1NRT,299.19,34.59,N,2026-07-08 20:36:00
41.87281,0.49431,338.52,1.48,1.2,2026-07-08,2036,T,100,6.1NRT,299.06,68.08,N,2026-07-08 20:36:00
41.87123,0.47692,360.06,1.47,1.2,2026-07-08,2036,T,100,6.1NRT,302.48,148.49,N,2026-07-08 20:36:00
41.88339,0.49257,328.02,1.48,1.2,2026-07-08,2036,T,100,6.1NRT,298.83,41.96,N,2026-07-08 20:36:00
41.88178,0.47501,318.78,1.47,1.2,2026-07-08,2036,T,97,6.1NRT,297.25,24.46,N,2026-07-08 20:36:00
41.68238,-4.77518,313.99,1.0,1.0,2026-07-08,2036,T,88,6.1NRT,291.95,12.09,N,2026-07-08 20:36:00
41.68077,-4.78682,331.91,1.0,1.0,2026-07-08,2036,T,100,6.1NRT,293.95,31.04,N,2026-07-08 20:36:00
43.02186,-5.52301,308.34,1.0,1.0,2026-07-08,2038,T,74,6.1NRT,287.45,9.74,N,2026-07-08 20:38:00
43.02018,-5.53488,321.48,1.0,1.0,2026-07-08,2038,T,100,6.1NRT,288.09,20.69,N,2026-07-08 20:38:00
43.09924,-5.88424,301.63,1.01,1.0,2026-07-08,2038,T,43,6.1NRT,288.76,5.18,N,2026-07-08 20:38:00
43.09751,-5.89632,309.22,1.01,1.0,2026-07-08,2038,T,77,6.1NRT,289.17,9.87,N,2026-07-08 20:38:00
43.35694,-4.75784,301.55,1.01,1.0,2026-07-08,2038,T,42,6.1NRT,289.77,5.78,N,2026-07-08 20:38:00
43.52072,-5.73171,306.01,1.0,1.0,2026-07-08,2038,T,66,6.1NRT,292.05,7.21,N,2026-07-08 20:38:00
43.52944,-5.73407,311.45,1.0,1.0,2026-07-08,2038,T,83,6.1NRT,291.51,10.59,N,2026-07-08 20:38:00
43.54196,-5.83724,306.11,1.0,1.0,2026-07-08,2038,T,67,6.1NRT,291.0,7.7,N,2026-07-08 20:38:00
43.09571,-5.88673,311.21,1.35,1.15,2026-07-09,406,A,82,6.1NRT,290.03,18.0,N,2026-07-09 04:06:00
43.02593,-5.52769,317.41,1.29,1.13,2026-07-09,406,A,95,6.1NRT,287.11,24.5,N,2026-07-09 04:06:00
43.02417,-5.51175,302.15,1.29,1.13,2026-07-09,406,A,41,6.1NRT,285.86,8.86,N,2026-07-09 04:06:00
43.02468,-5.5338,306.24,1.29,1.13,2026-07-09,406,A,67,6.1NRT,286.6,12.87,N,2026-07-09 04:06:00
43.02283,-5.51776,313.75,1.29,1.13,2026-07-09,406,A,88,6.1NRT,286.67,20.75,N,2026-07-09 04:06:00
41.62808,0.88913,306.09,1.11,1.05,2026-07-09,406,A,67,6.1NRT,293.48,8.22,N,2026-07-09 04:06:00
39.81673,-3.7811,306.49,1.04,1.02,2026-07-09,408,A,68,6.1NRT,291.19,7.76,N,2026-07-09 04:08:00
39.81512,-3.76942,304.57,1.04,1.02,2026-07-09,408,A,47,6.1NRT,291.71,5.97,N,2026-07-09 04:08:00
39.8135,-3.75773,312.47,1.04,1.02,2026-07-09,408,A,85,6.1NRT,292.13,11.7,N,2026-07-09 04:08:00
39.81187,-3.74602,307.94,1.04,1.02,2026-07-09,408,A,73,6.1NRT,292.13,8.47,N,2026-07-09 04:08:00
39.80787,-3.78302,313.26,1.04,1.02,2026-07-09,408,A,87,6.1NRT,291.5,12.07,N,2026-07-09 04:08:00
39.80626,-3.77137,314.98,1.04,1.02,2026-07-09,408,A,78,6.1NRT,291.47,13.1,N,2026-07-09 04:08:00
43.08821,-5.87807,312.06,2.04,1.39,2026-07-09,1011,T,57,6.1NRT,297.77,23.12,D,2026-07-09 10:11:00
43.01111,-5.52355,314.08,2.15,1.43,2026-07-09,1011,T,61,6.1NRT,298.83,25.17,D,2026-07-09 10:11:00
42.34242,-5.43773,323.8,2.27,1.46,2026-07-09,1011,T,69,6.1NRT,307.85,31.7,D,2026-07-09 10:11:00
42.34259,-5.44321,323.6,2.27,1.46,2026-07-09,1011,T,72,6.1NRT,307.85,33.44,D,2026-07-09 10:11:00
42.33026,-5.44814,320.63,2.27,1.46,2026-07-09,1011,T,52,6.1NRT,308.38,22.13,D,2026-07-09 10:11:00
41.80525,-5.88695,321.11,2.21,1.44,2026-07-09,1011,T,70,6.1NRT,305.25,31.38,D,2026-07-09 10:11:00
41.80486,-5.89388,318.69,2.21,1.44,2026-07-09,1011,T,56,6.1NRT,305.39,22.37,D,2026-07-09 10:11:00
